class_id,name,pixel_count,percent
1,Tree,813700,10.3444
2,Building,740665,9.4159
3,Road,889446,11.3074
4,Vehicle,62860,0.7991
5,Grass,547876,6.9650
6,Bare Soil,4316389,54.8735
7,Shadow-Noise,495139,6.2946
TOTAL_GT,,7866075,100.0000
TOTAL_RASTER,,143000000,
